team_name,common_name,season,country,matches_played,matches_played_home,matches_played_away,suspended_matches,wins,wins_home,wins_away,draws,draws_home,draws_away,losses,losses_home,losses_away,points_per_game,points_per_game_home,points_per_game_away,league_position,league_position_home,league_position_away,performance_rank,goals_scored,goals_conceded,goal_difference,total_goal_count,total_goal_count_home,total_goal_count_away,goals_scored_home,goals_scored_away,goals_conceded_home,goals_conceded_away,goal_difference_home,goal_difference_away,minutes_per_goal_scored,minutes_per_goal_scored_home,minutes_per_goal_scored_away,minutes_per_goal_conceded,minutes_per_goal_conceded_home,minutes_per_goal_conceded_away,clean_sheets,clean_sheets_home,clean_sheets_away,btts_count,btts_count_home,btts_count_away,fts_count,fts_count_home,fts_count_away,first_team_to_score_count,first_team_to_score_count_home,first_team_to_score_count_away,corners_total,corners_total_home,corners_total_away,cards_total,cards_total_home,cards_total_away,average_possession,average_possession_home,average_possession_away,shots,shots_home,shots_away,shots_on_target,shots_on_target_home,shots_on_target_away,shots_off_target,shots_off_target_home,shots_off_target_away,fouls,fouls_home,fouls_away,goals_scored_half_time,goals_scored_half_time_home,goals_scored_half_time_away,goals_conceded_half_time,goals_conceded_half_time_home,goals_conceded_half_time_away,goal_difference_half_time,goal_difference_half_time_home,goal_difference_half_time_away,leading_at_half_time,leading_at_half_time_home,leading_at_half_time_away,draw_at_half_time,draw_at_half_time_home,draw_at_half_time_away,losing_at_half_time,losing_at_half_time_home,losing_at_half_time_away,points_per_game_half_time,points_per_game_half_time_home,points_per_game_half_time_away,average_total_goals_per_match,average_total_goals_per_match_home,average_total_goals_per_match_away,goals_scored_per_match,goals_scored_per_match_home,goals_scored_per_match_away,goals_conceded_per_match,goals_conceded_per_match_home,goals_conceded_per_match_away,total_goals_per_match_half_time,total_goals_per_match_half_time_home,total_goals_per_match_half_time_away,goals_scored_per_match_half_time,goals_scored_per_match_half_time_home,goals_scored_per_match_half_time_away,goals_conceded_per_match_half_time,goals_conceded_per_match_half_time_home,goals_conceded_per_match_half_time_away,over05_count,over15_count,over25_count,over35_count,over45_count,over55_count,over05_count_home,over15_count_home,over25_count_home,over35_count_home,over45_count_home,over55_count_home,over05_count_away,over15_count_away,over25_count_away,over35_count_away,over45_count_away,over55_count_away,under05_count,under15_count,under25_count,under35_count,under45_count,under55_count,under05_count_home,under15_count_home,under25_count_home,under35_count_home,under45_count_home,under55_count_home,under05_count_away,under15_count_away,under25_count_away,under35_count_away,under45_count_away,under55_count_away,over05_percentage,over15_percentage,over25_percentage,over35_percentage,over45_percentage,over55_percentage,over05_percentage_home,over15_percentage_home,over25_percentage_home,over35_percentage_home,over45_percentage_home,over55_percentage_home,over05_percentage_away,over15_percentage_away,over25_percentage_away,over35_percentage_away,over45_percentage_away,over55_percentage_away,under05_percentage,under15_percentage,under25_percentage,under35_percentage,under45_percentage,under55_percentage,under05_percentage_home,under15_percentage_home,under25_percentage_home,under35_percentage_home,under45_percentage_home,under55_percentage_home,under05_percentage_away,under15_percentage_away,under25_percentage_away,under35_percentage_away,under45_percentage_away,under55_percentage_away,over05_count_half_time,over15_count_half_time,over25_count_half_time,over05_count_half_time_home,over15_count_half_time_home,over25_count_half_time_home,over05_count_half_time_away,over15_count_half_time_away,over25_count_half_time_away,over05_half_time_percentage,over15_half_time_percentage,over25_half_time_percentage,over05_half_time_percentage_home,over15_half_time_percentage_home,over25_half_time_percentage_home,over05_half_time_percentage_away,over15_half_time_percentage_away,over25_half_time_percentage_away,win_percentage,win_percentage_home,win_percentage_away,home_advantage_percentage,clean_sheet_percentage,clean_sheet_percentage_home,clean_sheet_percentage_away,btts_percentage,btts_percentage_home,btts_percentage_away,fts_percentage,fts_percentage_home,fts_percentage_away,first_team_to_score_percentage,first_team_to_score_percentage_home,first_team_to_score_percentage_away,clean_sheet_half_time,clean_sheet_half_time_home,clean_sheet_half_time_away,clean_sheet_half_time_percentage,clean_sheet_half_time_percentage_home,clean_sheet_half_time_percentage_away,fts_half_time,fts_half_time_home,fts_half_time_away,fts_half_time_percentage,fts_half_time_percentage_home,fts_half_time_percentage_away,btts_half_time,btts_half_time_home,btts_half_time_away,btts_half_time_percentage,btts_half_time_percentage_home,btts_half_time_percentage_away,leading_at_half_time_percentage,leading_at_half_time_percentage_home,leading_at_half_time_percentage_away,draw_at_half_time_percentage,draw_at_half_time_percentage_home,draw_at_half_time_percentage_away,losing_at_half_time_percentage,losing_at_half_time_percentage_home,losing_at_half_time_percentage_away,corners_per_match,corners_per_match_home,corners_per_match_away,cards_per_match,cards_per_match_home,cards_per_match_away,over65_corners_percentage,over75_corners_percentage,over85_corners_percentage,over95_corners_percentage,over105_corners_percentage,over115_corners_percentage,over125_corners_percentage,over135_corners_percentage,prediction_risk,goals_scored_min_0_to_10,goals_scored_min_11_to_20,goals_scored_min_21_to_30,goals_scored_min_31_to_40,goals_scored_min_41_to_50,goals_scored_min_51_to_60,goals_scored_min_61_to_70,goals_scored_min_71_to_80,goals_scored_min_81_to_90,goals_conceded_min_0_to_10,goals_conceded_min_11_to_20,goals_conceded_min_21_to_30,goals_conceded_min_31_to_40,goals_conceded_min_41_to_50,goals_conceded_min_51_to_60,goals_conceded_min_61_to_70,goals_conceded_min_71_to_80,goals_conceded_min_81_to_90
Atalanta Bergamasca Calcio,Atalanta,2014/2015,Italy,38,19,19,0,7,4,3,16,7,9,15,8,7,0.97,1,0.95,17,18,16,17,38,57,-19,95,55,40,22,16,33,24,-11,-8,90,78,107,60,52,71,8,3,5,23,14,9,13,4,9,19,10,9,191,105,86,121,63,58,47,50,44,361,197,164,154,79,75,207,118,89,154,79,75,18,10,8,26,17,9,-8,-7,-1,6,2,4,21,10,11,11,7,4,1.03,0.84,1.21,2.5,2.89,2.11,1,1.16,0.84,1.5,1.74,1.26,1.16,1.42,0.89,0.47,0.53,0.42,0.68,0.89,0.47,32,27,19,10,6,1,17,15,12,6,4,1,15,12,7,4,2,0,6,11,19,28,32,37,2,4,7,13,15,18,4,7,12,15,17,19,84,71,50,26,16,3,89,79,63,32,21,5,79,63,37,21,11,0,16,29,50,74,84,97,11,21,37,68,79,95,21,37,63,79,89,100,22,14,7,12,9,5,10,5,2,58,37,18,63,47,26,53,26,11,18,21,16,0,21,16,26,61,74,47,34,21,47,50,53,47,21,9,12,55,47,63,21,9,12,55,47,63,12,8,4,32,42,21,16,11,21,55,53,58,29,37,21,5.03,5.53,4.53,3.18,3.32,3.05,84,79,71,63,61,53,42,32,53,4,4,4,3,8,4,2,4,5,4,3,2,10,7,9,6,6,10
UC Sampdoria,Sampdoria,2014/2015,Italy,38,19,19,0,13,7,6,17,10,7,8,2,6,1.47,1.63,1.32,7,9,7,7,48,42,6,90,38,52,23,25,15,27,8,-2,71,74,68,81,114,63,11,7,4,22,10,12,8,4,4,20,12,8,212,122,90,103,49,54,50,51,49,375,202,173,155,85,70,220,117,103,155,85,70,16,11,5,19,7,12,-3,4,-7,8,6,2,21,11,10,9,2,7,1.18,1.53,0.84,2.37,2,2.74,1.26,1.21,1.32,1.11,0.79,1.42,0.92,0.95,0.89,0.42,0.58,0.26,0.5,0.37,0.63,35,28,13,9,3,2,17,12,5,4,0,0,18,16,8,5,3,2,3,10,25,29,35,36,2,7,14,15,19,19,1,3,11,14,16,17,92,74,34,24,8,5,89,63,26,21,0,0,95,84,42,26,16,11,8,26,66,76,92,95,11,37,74,79,100,100,5,16,58,74,84,89,21,11,3,11,5,2,10,6,1,55,29,8,58,26,11,53,32,5,34,37,32,13,29,37,21,58,53,63,21,21,21,53,63,42,24,13,11,63,68,58,24,9,15,63,47,79,7,5,2,18,26,11,21,32,11,55,58,53,24,11,37,5.58,6.42,4.74,2.71,2.58,2.84,97,92,68,63,55,42,32,18,53,2,3,4,4,4,9,6,10,6,4,4,1,8,4,4,6,4,7
Udinese Calcio,Udinese,2014/2015,Italy,38,19,19,0,10,6,4,11,5,6,17,8,9,1.08,1.21,0.95,16,15,17,16,43,56,-13,99,55,44,26,17,29,27,-3,-10,80,66,101,61,59,63,7,4,3,22,12,10,11,4,7,14,9,5,180,98,82,103,46,57,47,50,43,364,203,161,134,73,61,230,130,100,134,73,61,20,11,9,26,12,14,-6,-1,-5,6,4,2,20,10,10,12,5,7,1,1.16,0.84,2.61,2.89,2.32,1.13,1.37,0.89,1.47,1.53,1.42,1.21,1.21,1.21,0.53,0.58,0.47,0.68,0.63,0.74,36,27,17,10,5,3,18,14,10,7,4,2,18,13,7,3,1,1,2,11,21,28,33,35,1,5,9,12,15,17,1,6,12,16,18,18,95,71,45,26,13,8,95,74,53,37,21,11,95,68,37,16,5,5,5,29,55,74,87,92,5,26,47,63,79,89,5,32,63,84,95,95,25,13,6,12,6,3,13,7,3,66,34,16,63,32,16,68,37,16,26,32,21,9,18,21,16,58,63,53,29,21,37,37,47,26,17,10,7,45,53,37,23,12,11,61,63,58,11,4,7,29,21,37,16,21,11,53,53,53,32,26,37,4.74,5.16,4.32,2.71,2.42,3.00,92,82,68,63,45,39,24,16,71,3,4,5,4,6,7,6,3,5,2,8,7,3,9,4,10,7,6
AC Chievo Verona,Chievo,2014/2015,Italy,38,19,19,0,10,4,6,13,9,4,15,6,9,1.13,1.11,1.16,14,16,10,14,28,41,-13,69,35,34,16,12,19,22,-3,-10,122,107,143,83,90,78,14,7,7,14,10,4,16,7,9,15,9,6,163,96,67,88,45,43,44,45,44,374,184,190,177,93,84,197,91,106,177,93,84,12,10,2,15,6,9,-3,4,-7,7,6,1,21,10,11,10,3,7,1.11,1.47,0.74,1.82,1.84,1.79,0.74,0.84,0.63,1.08,1,1.16,0.71,0.84,0.58,0.32,0.53,0.11,0.39,0.32,0.47,32,23,11,2,1,0,14,11,7,2,1,0,18,12,4,0,0,0,6,15,27,36,37,38,5,8,12,17,18,19,1,7,15,19,19,19,84,61,29,5,3,0,74,58,37,11,5,0,95,63,21,0,0,0,16,39,71,95,97,100,26,42,63,89,95,100,5,37,79,100,100,100,19,5,2,11,3,1,8,2,1,50,13,5,58,16,5,42,11,5,26,21,32,11,37,37,37,37,53,21,42,37,47,39,47,32,26,14,12,68,74,63,29,11,18,76,58,95,2,2,0,5,11,0,18,32,5,55,53,58,26,16,37,4.29,5.05,3.53,2.32,2.37,2.26,97,84,68,57,42,37,26,21,34,5,1,1,5,4,1,1,3,7,2,4,4,2,5,5,4,9,6
US Sassuolo Calcio,Sassuolo,2014/2015,Italy,38,19,19,0,12,7,5,13,8,5,13,4,9,1.29,1.53,1.05,12,11,12,12,49,57,-8,106,47,59,25,24,22,35,3,-11,70,68,71,60,78,49,8,4,4,24,12,12,11,6,5,16,10,6,157,104,53,118,58,60,47,47,46,350,177,173,162,81,81,188,96,92,162,81,81,23,14,9,30,14,16,-7,0,-7,8,6,2,18,7,11,12,6,6,1.11,1.32,0.89,2.79,2.47,3.11,1.29,1.32,1.26,1.5,1.16,1.84,1.39,1.47,1.32,0.61,0.74,0.47,0.79,0.74,0.84,33,28,21,14,7,2,16,14,9,6,2,0,17,14,12,8,5,2,5,10,17,24,31,36,3,5,10,13,17,19,2,5,7,11,14,17,87,74,55,37,18,5,84,74,47,32,11,0,89,74,63,42,26,11,13,26,45,63,82,95,16,26,53,68,89,100,11,26,37,58,74,89,27,18,5,15,9,3,12,9,2,71,47,13,79,47,16,63,47,11,32,37,26,13,21,21,21,63,63,63,29,32,26,42,53,32,16,7,9,42,37,47,22,10,12,58,53,63,11,6,5,29,32,26,21,32,11,47,37,58,32,32,32,4.24,5.47,2.94,3.11,3.05,3.16,92,78,68,59,41,41,24,19,76,2,9,6,4,7,4,8,5,4,7,4,11,3,6,6,6,8,6
FC Internazionale Milano,Internazionale,2014/2015,Italy,38,19,19,0,14,7,7,13,7,6,11,5,6,1.45,1.47,1.42,8,12,5,8,59,48,11,107,56,51,33,26,23,25,10,1,58,52,66,71,74,68,11,6,5,22,11,11,9,4,5,17,10,7,229,129,100,105,43,62,57,57,56,427,218,209,170,82,88,257,136,121,170,82,88,24,14,10,23,10,13,1,4,-3,10,6,4,20,10,10,8,3,5,1.32,1.47,1.16,2.82,2.95,2.68,1.55,1.74,1.37,1.26,1.21,1.32,1.24,1.26,1.21,0.63,0.74,0.53,0.61,0.53,0.68,34,29,21,12,6,3,17,14,11,7,3,2,17,15,10,5,3,1,4,9,17,26,32,35,2,5,8,12,16,17,2,4,9,14,16,18,89,76,55,32,16,8,89,74,58,37,16,11,89,79,53,26,16,5,11,24,45,68,84,92,11,26,42,63,84,89,11,21,47,74,84,95,25,14,4,12,7,2,13,7,2,66,37,11,63,37,11,68,37,11,37,37,37,8,29,32,26,58,58,58,24,21,26,45,53,37,22,13,9,58,68,47,20,9,11,53,47,58,9,4,5,24,21,26,26,32,21,53,53,53,21,16,26,6.03,6.79,5.26,2.76,2.26,3.26,92,76,74,66,53,42,34,21,58,3,8,5,5,9,4,8,6,11,8,2,7,2,6,5,4,5,9
ACF Fiorentina,Fiorentina,2014/2015,Italy,38,19,19,0,18,9,9,10,6,4,10,4,6,1.68,1.74,1.63,4,5,4,4,61,46,15,107,47,60,30,31,17,29,13,2,56,57,55,74,101,59,11,8,3,20,8,12,10,6,4,20,10,10,245,144,101,88,37,51,56,59,52,486,293,193,218,123,95,268,170,98,218,123,95,23,12,11,17,3,14,6,9,-3,13,8,5,14,9,5,11,2,9,1.39,1.74,1.05,2.82,2.47,3.16,1.61,1.58,1.63,1.21,0.89,1.53,1.05,0.79,1.32,0.61,0.63,0.58,0.45,0.16,0.74,35,30,21,13,6,1,16,14,9,4,2,1,19,16,12,9,4,0,3,8,17,25,32,37,3,5,10,15,17,18,0,3,7,10,15,19,92,79,55,34,16,3,84,74,47,21,11,5,100,84,63,47,21,0,8,21,45,66,84,97,16,26,53,79,89,95,0,16,37,53,79,100,27,10,3,11,4,0,16,6,3,71,26,8,58,21,0,84,32,16,47,47,47,12,29,42,16,53,42,63,26,32,21,53,53,53,23,16,7,61,84,37,20,10,10,53,53,53,6,1,5,16,5,26,34,42,26,37,47,26,29,11,47,6.45,7.58,5.32,2.32,1.95,2.68,87,84,76,66,53,50,42,32,76,2,8,3,6,6,9,9,10,8,3,3,6,3,3,6,8,5,9
Hellas Verona FC,Hellas Verona,2014/2015,Italy,38,19,19,0,11,7,4,13,5,8,14,7,7,1.21,1.37,1.05,13,14,13,13,49,65,-16,114,57,57,27,22,30,35,-3,-13,70,63,78,53,57,49,7,3,4,25,13,12,8,3,5,14,6,8,175,109,66,111,54,57,44,46,43,343,194,149,162,90,72,181,104,77,162,90,72,21,10,11,30,13,17,-9,-3,-6,5,3,2,22,10,12,11,6,5,0.97,1,0.95,3,3,3,1.29,1.42,1.16,1.71,1.58,1.84,1.34,1.21,1.47,0.55,0.53,0.58,0.79,0.68,0.89,36,30,23,15,4,3,19,15,12,8,2,1,17,15,11,7,2,2,2,8,15,23,34,35,0,4,7,11,17,18,2,4,8,12,17,17,95,79,61,39,11,8,100,79,63,42,11,5,89,79,58,37,11,11,5,21,39,61,89,92,0,21,37,58,89,95,11,21,42,63,89,89,28,18,3,15,8,0,13,10,3,74,47,8,79,42,0,68,53,16,29,37,21,9,18,16,21,66,68,63,21,16,26,37,32,42,15,7,8,39,37,42,19,10,9,50,53,47,14,6,8,37,32,42,13,16,11,58,53,63,29,32,26,4.61,5.74,3.47,2.92,2.84,3.00,89,87,79,71,63,50,37,26,92,7,3,4,4,5,5,8,5,8,6,6,7,6,11,4,9,6,10
AC Cesena,Cesena,2014/2015,Italy,38,19,19,0,4,3,1,12,7,5,22,9,13,0.63,0.84,0.42,20,20,19,20,36,73,-37,109,50,59,19,17,31,42,-12,-25,95,90,101,47,55,41,4,3,1,23,11,12,13,6,7,13,9,4,132,66,66,111,55,56,44,45,44,394,260,134,167,100,67,227,160,67,167,100,67,15,9,6,33,13,20,-18,-4,-14,7,4,3,13,8,5,18,7,11,0.89,1.05,0.74,2.87,2.63,3.11,0.95,1,0.89,1.92,1.63,2.21,1.26,1.16,1.37,0.39,0.47,0.32,0.87,0.68,1.05,36,30,21,13,8,1,18,12,9,7,4,0,18,18,12,6,4,1,2,8,17,25,30,37,1,7,10,12,15,19,1,1,7,13,15,18,95,79,55,34,21,3,95,63,47,37,21,0,95,95,63,32,21,5,5,21,45,66,79,97,5,37,53,63,79,100,5,5,37,68,79,95,27,14,6,12,7,3,15,7,3,71,37,16,63,37,16,79,37,16,11,16,5,10,11,16,5,61,58,63,34,32,37,34,47,21,17,11,6,45,58,32,27,12,15,71,63,79,5,3,2,13,16,11,18,21,16,34,42,26,47,37,58,3.47,3.47,3.47,2.92,2.89,2.95,89,71,45,42,34,26,21,18,74,1,3,5,3,3,5,5,4,7,5,8,7,7,13,8,6,7,12
Parma Calcio 1913,Parma,2014/2015,Italy,38,19,19,0,6,5,1,8,4,4,24,10,14,0.68,1,0.37,19,17,20,19,33,75,-42,108,46,62,19,14,27,48,-8,-34,103,90,122,46,63,36,8,7,1,17,8,9,16,6,10,9,7,2,152,86,66,116,67,49,45,45,45,305,151,154,130,63,67,175,88,87,130,63,67,16,9,7,39,12,27,-23,-3,-20,5,5,0,15,8,7,18,6,12,0.79,1.21,0.37,2.84,2.42,3.26,0.87,1,0.74,1.97,1.42,2.53,1.45,1.11,1.79,0.42,0.47,0.37,1.03,0.63,1.42,35,27,20,14,5,3,17,12,8,4,1,1,18,15,12,10,4,2,3,11,18,24,33,35,2,7,11,15,18,18,1,4,7,9,15,17,92,71,53,37,13,8,89,63,42,21,5,5,95,79,63,53,21,11,8,29,47,63,87,92,11,37,58,79,95,95,5,21,37,47,79,89,28,16,9,12,5,3,16,11,6,74,42,24,63,26,16,84,58,32,16,26,5,22,21,37,5,45,42,47,42,32,53,24,37,11,13,10,3,34,53,16,25,12,13,66,63,68,10,4,6,26,21,32,13,26,0,39,42,37,47,32,63,4.00,4.53,3.47,3.05,3.53,2.58,79,66,53,34,32,18,18,16,66,2,2,6,3,3,3,4,8,2,4,9,12,8,7,11,5,10,9
