team_name,common_name,season,country,matches_played,matches_played_home,matches_played_away,suspended_matches,wins,wins_home,wins_away,draws,draws_home,draws_away,losses,losses_home,losses_away,points_per_game,points_per_game_home,points_per_game_away,league_position,league_position_home,league_position_away,performance_rank,goals_scored,goals_conceded,goal_difference,total_goal_count,total_goal_count_home,total_goal_count_away,goals_scored_home,goals_scored_away,goals_conceded_home,goals_conceded_away,goal_difference_home,goal_difference_away,minutes_per_goal_scored,minutes_per_goal_scored_home,minutes_per_goal_scored_away,minutes_per_goal_conceded,minutes_per_goal_conceded_home,minutes_per_goal_conceded_away,clean_sheets,clean_sheets_home,clean_sheets_away,btts_count,btts_count_home,btts_count_away,fts_count,fts_count_home,fts_count_away,first_team_to_score_count,first_team_to_score_count_home,first_team_to_score_count_away,corners_total,corners_total_home,corners_total_away,cards_total,cards_total_home,cards_total_away,average_possession,average_possession_home,average_possession_away,shots,shots_home,shots_away,shots_on_target,shots_on_target_home,shots_on_target_away,shots_off_target,shots_off_target_home,shots_off_target_away,fouls,fouls_home,fouls_away,goals_scored_half_time,goals_scored_half_time_home,goals_scored_half_time_away,goals_conceded_half_time,goals_conceded_half_time_home,goals_conceded_half_time_away,goal_difference_half_time,goal_difference_half_time_home,goal_difference_half_time_away,leading_at_half_time,leading_at_half_time_home,leading_at_half_time_away,draw_at_half_time,draw_at_half_time_home,draw_at_half_time_away,losing_at_half_time,losing_at_half_time_home,losing_at_half_time_away,points_per_game_half_time,points_per_game_half_time_home,points_per_game_half_time_away,average_total_goals_per_match,average_total_goals_per_match_home,average_total_goals_per_match_away,goals_scored_per_match,goals_scored_per_match_home,goals_scored_per_match_away,goals_conceded_per_match,goals_conceded_per_match_home,goals_conceded_per_match_away,total_goals_per_match_half_time,total_goals_per_match_half_time_home,total_goals_per_match_half_time_away,goals_scored_per_match_half_time,goals_scored_per_match_half_time_home,goals_scored_per_match_half_time_away,goals_conceded_per_match_half_time,goals_conceded_per_match_half_time_home,goals_conceded_per_match_half_time_away,over05_count,over15_count,over25_count,over35_count,over45_count,over55_count,over05_count_home,over15_count_home,over25_count_home,over35_count_home,over45_count_home,over55_count_home,over05_count_away,over15_count_away,over25_count_away,over35_count_away,over45_count_away,over55_count_away,under05_count,under15_count,under25_count,under35_count,under45_count,under55_count,under05_count_home,under15_count_home,under25_count_home,under35_count_home,under45_count_home,under55_count_home,under05_count_away,under15_count_away,under25_count_away,under35_count_away,under45_count_away,under55_count_away,over05_percentage,over15_percentage,over25_percentage,over35_percentage,over45_percentage,over55_percentage,over05_percentage_home,over15_percentage_home,over25_percentage_home,over35_percentage_home,over45_percentage_home,over55_percentage_home,over05_percentage_away,over15_percentage_away,over25_percentage_away,over35_percentage_away,over45_percentage_away,over55_percentage_away,under05_percentage,under15_percentage,under25_percentage,under35_percentage,under45_percentage,under55_percentage,under05_percentage_home,under15_percentage_home,under25_percentage_home,under35_percentage_home,under45_percentage_home,under55_percentage_home,under05_percentage_away,under15_percentage_away,under25_percentage_away,under35_percentage_away,under45_percentage_away,under55_percentage_away,over05_count_half_time,over15_count_half_time,over25_count_half_time,over05_count_half_time_home,over15_count_half_time_home,over25_count_half_time_home,over05_count_half_time_away,over15_count_half_time_away,over25_count_half_time_away,over05_half_time_percentage,over15_half_time_percentage,over25_half_time_percentage,over05_half_time_percentage_home,over15_half_time_percentage_home,over25_half_time_percentage_home,over05_half_time_percentage_away,over15_half_time_percentage_away,over25_half_time_percentage_away,win_percentage,win_percentage_home,win_percentage_away,home_advantage_percentage,clean_sheet_percentage,clean_sheet_percentage_home,clean_sheet_percentage_away,btts_percentage,btts_percentage_home,btts_percentage_away,fts_percentage,fts_percentage_home,fts_percentage_away,first_team_to_score_percentage,first_team_to_score_percentage_home,first_team_to_score_percentage_away,clean_sheet_half_time,clean_sheet_half_time_home,clean_sheet_half_time_away,clean_sheet_half_time_percentage,clean_sheet_half_time_percentage_home,clean_sheet_half_time_percentage_away,fts_half_time,fts_half_time_home,fts_half_time_away,fts_half_time_percentage,fts_half_time_percentage_home,fts_half_time_percentage_away,btts_half_time,btts_half_time_home,btts_half_time_away,btts_half_time_percentage,btts_half_time_percentage_home,btts_half_time_percentage_away,leading_at_half_time_percentage,leading_at_half_time_percentage_home,leading_at_half_time_percentage_away,draw_at_half_time_percentage,draw_at_half_time_percentage_home,draw_at_half_time_percentage_away,losing_at_half_time_percentage,losing_at_half_time_percentage_home,losing_at_half_time_percentage_away,corners_per_match,corners_per_match_home,corners_per_match_away,cards_per_match,cards_per_match_home,cards_per_match_away,over65_corners_percentage,over75_corners_percentage,over85_corners_percentage,over95_corners_percentage,over105_corners_percentage,over115_corners_percentage,over125_corners_percentage,over135_corners_percentage,prediction_risk,goals_scored_min_0_to_10,goals_scored_min_11_to_20,goals_scored_min_21_to_30,goals_scored_min_31_to_40,goals_scored_min_41_to_50,goals_scored_min_51_to_60,goals_scored_min_61_to_70,goals_scored_min_71_to_80,goals_scored_min_81_to_90,goals_conceded_min_0_to_10,goals_conceded_min_11_to_20,goals_conceded_min_21_to_30,goals_conceded_min_31_to_40,goals_conceded_min_41_to_50,goals_conceded_min_51_to_60,goals_conceded_min_61_to_70,goals_conceded_min_71_to_80,goals_conceded_min_81_to_90
Middlesbrough FC,Middlesbrough,2016/2017,England,38,19,19,0,5,4,1,13,6,7,20,9,11,0.74,0.95,0.53,19,19,16,19,27,53,-26,80,40,40,17,10,23,30,-6,-20,127,101,170,65,74,57,11,7,4,16,9,7,18,6,12,12,6,6,141,93,48,79,39,40,45,48,43,285,164,121,138,72,66,147,92,55,138,72,66,15,9,6,27,11,16,-12,-2,-10,6,5,1,17,7,10,15,7,8,0.92,1.16,0.68,2.11,2.11,2.11,0.71,0.89,0.53,1.39,1.21,1.58,1.11,1.05,1.16,0.39,0.47,0.32,0.71,0.58,0.84,31,23,17,7,1,1,16,12,9,3,0,0,15,11,8,4,1,1,7,15,21,31,37,37,3,7,10,16,19,19,4,8,11,15,18,18,82,61,45,18,3,3,84,63,47,16,0,0,79,58,42,21,5,5,18,39,55,82,97,97,16,37,53,84,100,100,21,42,58,79,95,95,24,12,3,14,5,1,10,7,2,63,32,8,74,26,5,53,37,11,13,21,5,19,29,37,21,42,47,37,47,32,63,32,32,32,20,10,10,53,53,53,26,11,15,68,58,79,6,3,3,16,16,16,16,26,5,45,37,53,39,37,42,3.71,4.89,2.53,2.08,2.05,2.11,79,63,61,45,37,28,18,13,47,2,5,3,3,3,4,2,4,1,4,3,7,4,10,8,8,3,6
AFC Bournemouth,AFC Bournemouth,2016/2017,England,38,19,19,0,12,9,3,10,4,6,16,6,10,1.21,1.63,0.79,9,10,13,9,55,67,-12,122,64,58,35,20,29,38,6,-18,62,49,86,51,59,45,10,6,4,21,11,10,9,3,6,19,10,9,193,98,95,58,26,32,52,54,50,308,165,143,155,79,76,153,86,67,155,79,76,27,15,12,29,12,17,-2,3,-5,12,7,5,13,6,7,13,6,7,1.29,1.42,1.16,3.21,3.37,3.05,1.45,1.84,1.05,1.76,1.53,2,1.47,1.42,1.53,0.71,0.79,0.63,0.76,0.63,0.89,36,30,23,18,6,4,18,15,12,10,4,3,18,15,11,8,2,1,2,8,15,20,32,34,1,4,7,9,15,16,1,4,8,11,17,18,95,79,61,47,16,11,95,79,63,53,21,16,95,79,58,42,11,5,5,21,39,53,84,89,5,21,37,47,79,84,5,21,42,58,89,95,32,18,5,16,8,2,16,10,3,84,47,13,84,42,11,84,53,16,32,47,16,20,26,32,21,55,58,53,24,16,32,50,53,47,17,9,8,45,47,42,16,8,8,42,42,42,11,5,6,29,26,32,32,37,26,34,32,37,34,32,37,5.08,5.16,5.00,1.53,1.37,1.68,92,79,71,57,47,34,32,21,76,7,5,5,5,7,3,7,4,12,3,10,9,7,7,5,9,4,13
Manchester United FC,Manchester United,2016/2017,England,38,19,19,0,18,8,10,15,10,5,5,1,4,1.82,1.79,1.84,6,7,3,6,54,29,25,83,38,45,26,28,12,17,14,11,63,66,61,118,143,101,17,8,9,19,11,8,8,3,5,22,11,11,217,139,78,82,38,44,54,56,52,415,230,185,211,119,92,204,111,93,211,119,92,28,15,13,11,6,5,17,9,8,17,8,9,14,8,6,7,3,4,1.71,1.68,1.74,2.18,2,2.37,1.42,1.37,1.47,0.76,0.63,0.89,1.03,1.11,0.95,0.74,0.79,0.68,0.29,0.32,0.26,32,30,13,7,1,0,16,15,4,2,1,0,16,15,9,5,0,0,6,8,25,31,37,38,3,4,15,17,18,19,3,4,10,14,19,19,84,79,34,18,3,0,84,79,21,11,5,0,84,79,47,26,0,0,16,21,66,82,97,100,16,21,79,89,95,100,16,21,53,74,100,100,26,9,3,13,5,2,13,4,1,68,24,8,68,26,11,68,21,5,47,42,53,7,45,42,47,50,58,42,21,16,26,58,58,58,29,14,15,76,74,79,18,8,10,47,42,53,3,3,0,8,16,0,45,42,47,37,42,32,18,16,21,5.71,7.32,4.11,2.16,2,2.32,76,68,61,50,45,32,21,18,58,2,3,8,8,10,4,6,2,11,3,2,3,3,1,3,6,2,6
Hull City AFC,Hull City,2016/2017,England,38,19,19,0,9,8,1,7,4,3,22,7,15,0.89,1.47,0.32,18,13,20,18,37,80,-43,117,63,54,28,9,35,45,-7,-36,93,61,191,43,49,38,5,2,3,19,12,7,16,5,11,10,7,3,179,73,106,77,36,41,45,44,46,316,157,159,149,76,73,167,81,86,149,76,73,11,8,3,28,12,16,-17,-4,-13,5,4,1,17,9,8,16,6,10,0.84,1.11,0.58,3.08,3.32,2.84,0.97,1.47,0.47,2.11,1.84,2.37,1.03,1.05,1,0.29,0.42,0.16,0.74,0.63,0.84,36,32,21,14,6,5,19,18,11,6,4,3,17,14,10,8,2,2,2,6,17,24,32,33,0,1,8,13,15,16,2,5,9,11,17,17,95,84,55,37,16,13,100,95,58,32,21,16,89,74,53,42,11,11,5,16,45,63,84,87,0,5,42,68,79,84,11,26,47,58,89,89,24,8,4,12,4,2,12,4,2,63,21,11,63,21,11,63,21,11,24,42,5,33,13,11,16,50,63,37,42,26,58,26,37,16,18,10,8,47,53,42,29,13,16,76,68,84,5,3,2,13,16,11,13,21,5,45,47,42,42,32,53,4.71,3.84,5.58,2.03,1.89,2.16,95,92,84,71,53,34,24,21,84,1,2,3,3,3,4,8,8,5,7,6,3,6,10,5,11,11,21
Liverpool FC,Liverpool,2016/2017,England,38,19,19,0,22,12,10,10,5,5,6,2,4,2,2.16,1.84,4,5,4,4,78,42,36,120,63,57,45,33,18,24,27,9,44,38,52,81,95,71,12,6,6,24,13,11,5,2,3,24,12,12,249,116,133,54,22,32,60,62,59,423,218,205,228,115,113,195,103,92,228,115,113,39,24,15,20,9,11,19,15,4,19,10,9,12,7,5,7,2,5,1.82,1.95,1.68,3.16,3.32,3,2.05,2.37,1.74,1.11,0.95,1.26,1.55,1.74,1.37,1.03,1.26,0.79,0.53,0.47,0.58,35,31,23,15,8,5,17,16,13,9,5,2,18,15,10,6,3,3,3,7,15,23,30,33,2,3,6,10,14,17,1,4,9,13,16,16,92,82,61,39,21,13,89,84,68,47,26,11,95,79,53,32,16,16,8,18,39,61,79,87,11,16,32,53,74,89,5,21,47,68,84,84,31,19,7,15,12,6,16,7,1,82,50,18,79,63,32,84,37,5,58,63,53,15,32,32,32,63,68,58,13,11,16,63,63,63,22,11,11,58,58,58,13,5,8,34,26,42,10,7,3,26,37,16,50,53,47,32,37,26,18,11,26,6.55,6.11,7.00,1.42,1.16,1.68,84,74,66,50,37,37,28,13,84,4,9,8,9,11,16,9,6,6,4,2,5,6,4,5,3,7,6
Chelsea FC,Chelsea,2016/2017,England,38,19,19,0,30,17,13,3,0,3,5,2,3,2.45,2.68,2.21,1,2,1,1,85,33,52,118,72,46,55,30,17,16,38,14,40,31,57,103,101,107,16,8,8,19,11,8,3,0,3,30,16,14,218,129,89,72,32,40,54,55,53,391,211,180,183,99,84,208,112,96,183,99,84,37,25,12,19,10,9,18,15,3,21,12,9,11,5,6,6,2,4,1.95,2.16,1.74,3.11,3.79,2.42,2.24,2.89,1.58,0.87,0.89,0.84,1.47,1.84,1.11,0.97,1.32,0.63,0.5,0.53,0.47,38,33,26,11,5,4,19,18,17,8,5,4,19,15,9,3,0,0,0,5,12,27,33,34,0,1,2,11,14,15,0,4,10,16,19,19,100,87,68,29,13,11,100,95,89,42,26,21,100,79,47,16,0,0,0,13,32,71,87,89,0,5,11,58,74,79,0,21,53,84,100,100,32,17,7,17,13,5,15,4,2,84,45,18,89,68,26,79,21,11,79,89,68,14,42,42,42,50,58,42,8,0,16,79,84,74,23,11,12,61,58,63,11,3,8,29,16,42,10,7,3,26,37,16,55,63,47,29,26,32,16,11,21,5.74,6.79,4.68,1.89,1.68,2.11,79,76,66,61,45,32,18,11,76,10,8,6,6,11,8,12,7,17,3,5,4,3,6,5,2,2,3
West Ham United FC,West Ham United,2016/2017,England,38,19,19,0,12,7,5,9,4,5,17,8,9,1.18,1.32,1.05,11,16,9,11,47,64,-17,111,50,61,19,28,31,33,-12,-5,73,90,61,54,55,52,10,8,2,21,7,14,9,5,4,17,9,8,172,90,82,88,50,38,48,49,47,344,194,150,147,72,75,197,122,75,147,72,75,19,5,14,27,13,14,-8,-8,0,9,2,7,18,10,8,11,7,4,1.18,0.84,1.53,2.92,2.63,3.21,1.24,1,1.47,1.68,1.63,1.74,1.21,0.95,1.47,0.5,0.26,0.74,0.71,0.68,0.74,36,28,22,15,7,3,18,12,9,6,3,2,18,16,13,9,4,1,2,10,16,23,31,35,1,7,10,13,16,17,1,3,6,10,15,18,95,74,58,39,18,8,95,63,47,32,16,11,95,84,68,47,21,5,5,26,42,61,82,92,5,37,53,68,84,89,5,16,32,53,79,95,25,12,7,10,3,3,15,9,4,66,32,18,53,16,16,79,47,21,32,37,26,-8,26,42,11,55,37,74,24,26,21,45,47,42,19,11,8,50,58,42,23,15,8,61,79,42,9,2,7,24,11,37,24,11,37,47,53,42,29,37,21,4.53,4.74,4.32,2.32,2.63,2.00,84,74,55,47,32,26,13,11,82,5,5,3,2,6,3,8,6,9,7,4,7,6,8,7,6,6,13
Swansea City AFC,Swansea City,2016/2017,Wales,38,19,19,0,12,8,4,5,3,2,21,8,13,1.08,1.42,0.74,15,15,14,15,45,70,-25,115,61,54,27,18,34,36,-7,-18,76,63,95,49,50,48,8,6,2,21,10,11,11,5,6,13,8,5,196,119,77,56,30,26,48,50,47,350,222,128,194,125,69,156,97,59,194,125,69,17,10,7,26,12,14,-9,-2,-7,9,6,3,14,7,7,15,6,9,1.08,1.32,0.84,3.03,3.21,2.84,1.18,1.42,0.95,1.84,1.79,1.89,1.13,1.16,1.11,0.45,0.53,0.37,0.68,0.63,0.74,36,31,24,14,6,1,17,16,13,8,3,1,19,15,11,6,3,0,2,7,14,24,32,37,2,3,6,11,16,18,0,4,8,13,16,19,95,82,63,37,16,3,89,84,68,42,16,5,100,79,58,32,16,0,5,18,37,63,84,97,11,16,32,58,84,95,0,21,42,68,84,100,29,12,2,15,6,1,14,6,1,76,32,5,79,32,5,74,32,5,32,42,21,12,21,32,11,55,53,58,29,26,32,34,42,26,18,10,8,47,53,42,23,10,13,61,53,68,6,3,3,16,16,16,24,32,16,37,37,37,39,32,47,5.16,6.26,4.05,1.47,1.58,1.37,89,82,76,57,50,28,18,11,68,4,3,1,4,6,4,8,6,9,2,8,4,7,8,8,9,9,15
Watford FC,Watford,2016/2017,England,38,19,19,0,11,8,3,7,4,3,20,7,13,1.05,1.47,0.63,17,12,15,17,40,68,-28,108,54,54,25,15,29,39,-4,-24,86,68,114,50,59,44,7,5,2,18,11,7,15,4,11,14,10,4,164,82,82,94,54,40,48,47,48,321,177,144,157,86,71,164,91,73,157,86,71,17,10,7,35,18,17,-18,-8,-10,9,6,3,12,5,7,17,8,9,1.03,1.21,0.84,2.84,2.84,2.84,1.05,1.32,0.79,1.79,1.53,2.05,1.37,1.47,1.26,0.45,0.53,0.37,0.92,0.95,0.89,36,27,18,13,7,4,18,13,10,7,4,1,18,14,8,6,3,3,2,11,20,25,31,34,1,6,9,12,15,18,1,5,11,13,16,16,95,71,47,34,18,11,95,68,53,37,21,5,95,74,42,32,16,16,5,29,53,66,82,89,5,32,47,63,79,95,5,26,58,68,84,84,28,13,9,15,7,5,13,6,4,74,34,24,79,37,26,68,32,21,29,42,16,21,18,26,11,47,58,37,39,21,58,37,53,21,18,9,9,47,47,47,25,11,14,66,58,74,5,3,2,13,16,11,24,32,16,32,26,37,45,42,47,4.32,4.32,4.32,2.47,2.84,2.11,79,74,63,47,37,24,18,11,74,6,3,2,2,6,8,4,4,5,3,3,8,13,14,9,4,4,10
Sunderland AFC,Sunderland,2016/2017,England,38,19,19,0,6,3,3,6,5,1,26,11,15,0.63,0.74,0.53,20,20,18,20,29,69,-40,98,50,48,16,13,34,35,-18,-22,118,107,132,49,50,49,6,4,2,14,8,6,20,9,11,8,4,4,158,85,73,86,40,46,44,46,41,278,144,134,147,80,67,131,64,67,147,80,67,11,5,6,27,16,11,-16,-11,-5,3,2,1,19,8,11,16,9,7,0.74,0.74,0.74,2.58,2.63,2.53,0.76,0.84,0.68,1.82,1.79,1.84,1,1.11,0.89,0.29,0.26,0.32,0.71,0.84,0.58,36,29,18,10,4,1,17,14,11,6,2,0,19,15,7,4,2,1,2,9,20,28,34,37,2,5,8,13,17,19,0,4,12,15,17,18,95,76,47,26,11,3,89,74,58,32,11,0,100,79,37,21,11,5,5,24,53,74,89,97,11,26,42,68,89,100,0,21,63,79,89,95,23,11,2,13,6,1,10,5,1,61,29,5,68,32,5,53,26,5,16,16,16,7,16,21,11,37,42,32,53,47,58,21,21,21,18,8,10,47,42,53,30,14,16,79,74,84,5,3,2,13,16,11,8,11,5,50,42,58,42,47,37,4.16,4.47,3.84,2.26,2.11,2.42,97,89,66,61,42,28,24,21,68,2,0,2,4,4,1,4,6,6,6,5,4,7,7,8,5,13,14
